Anfangszeit - hh:mm:ss.ms;Endzeit - hh:mm:ss.ms;Dauer - hh:mm:ss.ms;Blickzuwendung;Aktion;Interface-Bildnr.;Verzeichnis (Pfad)
00:20:17.680;00:20:18.281;00:00:00.601;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:20:18.881;00:20:22.962;00:00:04.081;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:20:23.602;00:20:26.723;00:00:03.121;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:20:27.203;00:20:28.444;00:00:01.241;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:20:30.124;00:20:30.645;00:00:00.521;1;;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:09.886;00:21:10.646;00:00:00.760;1;;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:12.487;00:21:14.127;00:00:01.640;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:16.968;00:21:17.368;00:00:00.400;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:19.649;00:21:20.489;00:00:00.840;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:20.971;00:21:21.451;00:00:00.480;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:53.212;00:21:53.892;00:00:00.680;1;;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:54.212;00:21:55.292;00:00:01.080;1;;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:55.773;00:21:57.373;00:00:01.600;1;;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:57.813;00:21:59.454;00:00:01.641;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:22:06.656;00:22:07.176;00:00:00.520;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:22:07.696;00:22:08.816;00:00:01.120;1;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:22:09.617;00:22:10.337;00:00:00.720;1;;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:26:36.722;00:26:37.082;00:00:00.360;1;1;3;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:38:59.960;00:39:01.001;00:00:01.041;1;;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:02.361;00:39:03.441;00:00:01.080;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:07.643;00:39:08.003;00:00:00.360;1;;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:19.604;00:39:20.124;00:00:00.520;1;;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:20.605;00:39:21.525;00:00:00.920;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:24.606;00:39:25.046;00:00:00.440;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:28.167;00:39:28.847;00:00:00.680;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:29.320;00:39:30.360;00:00:01.040;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:31.680;00:39:32.081;00:00:00.401;1;;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:40:19.202;00:40:19.602;00:00:00.400;1;;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:40:20.043;00:40:20.763;00:00:00.720;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:40:23.724;00:40:24.324;00:00:00.600;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:40:24.764;00:40:25.164;00:00:00.400;1;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:44:16.541;00:44:17.461;00:00:00.920;1;;6;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:44:17.941;00:44:18.221;00:00:00.280;1;;6;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:44:18.582;00:44:19.302;00:00:00.720;1;1;6;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:44:22.223;00:44:22.663;00:00:00.440;1;;6;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:14:33.680;00:14:36.400;00:00:02.720;;1;1;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:15:11.600;00:15:15.521;00:00:03.921;;1;1;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:15:49.841;00:15:52.801;00:00:02.960;;1;1;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:20:17.640;00:20:29.083;00:00:11.443;;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:12.124;00:21:22.366;00:00:10.242;;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:21:56.929;00:22:09.737;00:00:12.808;;1;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:26:34.040;00:26:38.121;00:00:04.081;;1;3;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:27:09.324;00:27:11.645;00:00:02.321;;1;3;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:27:46.769;00:27:48.850;00:00:02.081;;1;3;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:33:58.540;00:34:00.540;00:00:02.000;;1;4;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:34:35.863;00:34:37.663;00:00:01.800;;1;4;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:35:11.826;00:35:15.707;00:00:03.881;;1;4;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:00.041;00:39:04.282;00:00:04.241;;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:39:20.440;00:39:31.240;00:00:10.800;;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:40:19.600;00:40:25.840;00:00:06.240;;1;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:44:18.440;00:44:20.161;00:00:01.721;;1;6;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:14:10.700;00:15:59.700;00:01:49.000;;;1;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:19:54.150;00:22:18.150;00:02:24.000;;;2;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:25:52.150;00:27:56.150;00:02:04.000;;;3;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:33:14.600;00:35:21.600;00:02:07.000;;;4;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:38:36.200;00:40:34.200;00:01:58.000;;;5;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
00:43:28.400;00:45:01.400;00:01:33.000;;;6;file:D:\diss_sicherung\Auswertungen\auswertung 4\videos_annot\Vp428-1.eaf
